PO Created By,PO Create Date,PO Number,Month,Turn around in Days,P Grp,Date order Captured,User order Captured,BOT/MANUAL/SERVICE PROVIDER
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106921,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106921,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106923,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106922,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106923,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106923,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106923,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106923,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106923,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106923,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106924,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106924,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106924,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106924,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106925,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106926,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106924,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106924,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
1312085,2025-04-10,4400106927,April 2025,0,A14,2025-04-11,PR2PO-ACK2,BOT
4507345,2025-04-13,4400106929,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
4507345,2025-04-13,4400106928,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
4507345,2025-04-13,4400106928,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
4507345,2025-04-13,4400106929,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
4507345,2025-04-13,4400106929,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
4507345,2025-04-13,4400106929,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-15,4400106937,April 2025,0,G05,2025-04-15,PR2PO-ACK2,BOT
1312085,2025-04-16,4400106940,April 2025,0,A14,2025-04-16,PR2PO-ACK2,BOT
4507345,2025-04-17,4400106943,April 2025,0,A14,2025-05-07,NELD7,MANUAL
1312085,2025-04-17,4400106944,April 2025,0,A14,2025-04-23,NELD7,MANUAL
4154566,2025-04-17,4400106946,April 2025,0,G05,2025-04-22,PR2PO-ACK2,BOT
4507345,2025-04-23,4400106950,April 2025,0,A14,2025-04-23,PR2PO-ACK2,BOT
1312085,2025-04-24,4400106954,April 2025,0,A14,2025-04-24,PR2PO-ACK2,BOT
1312085,2025-04-24,4400106955,April 2025,0,A14,2025-04-25,PR2PO-ACK2,BOT
1312085,2025-04-24,4400106955,April 2025,0,A14,2025-04-25,PR2PO-ACK2,BOT
1312085,2025-04-24,4400106955,April 2025,0,A14,2025-04-25,PR2PO-ACK2,BOT
2161972,2025-04-29,4400106958,April 2025,0,G05,2025-05-08,PR2PO-ACK2,BOT
4237762,2025-05-07,4400106971,May 2025,0,A14,2025-05-13,PR2PO-ACK2,BOT
4507345,2025-04-13,4400106929,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
1312085,2025-04-14,4400106930,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
1312085,2025-04-14,4400106931,April 2025,0,A14,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106932,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106933,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106933,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106933,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106933,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106933,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106934,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106934,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4315785,2025-04-14,4400106934,April 2025,0,G05,2025-04-14,PR2PO-ACK2,BOT
4507345,2025-04-14,4400106935,April 2025,0,A14,2025-04-16,PR2PO-ACK2,BOT
1312085,2025-04-15,4400106936,April 2025,0,A14,2025-04-15,PR2PO-ACK2,BOT
1312085,2025-04-16,4400106938,April 2025,0,A14,2025-04-16,PR2PO-ACK2,BOT
1312085,2025-04-16,4400106939,April 2025,0,A14,2025-04-16,PR2PO-ACK2,BOT
1312085,2025-04-16,4400106941,April 2025,0,A14,2025-04-16,PR2PO-ACK2,BOT
1312085,2025-04-17,4400106942,April 2025,0,A14,2025-04-22,PR2PO-ACK2,BOT
1312085,2025-04-17,4400106942,April 2025,0,A14,2025-04-23,NELD7,MANUAL
1312085,2025-04-17,4400106945,April 2025,0,A14,2025-04-22,PR2PO-ACK2,BOT
1553319,2025-04-17,4400106947,April 2025,0,G05,2025-04-22,PR2PO-ACK2,BOT
1553319,2025-04-17,4400106947,April 2025,0,G05,2025-04-22,PR2PO-ACK2,BOT
1553319,2025-04-17,4400106948,April 2025,0,G05,2025-04-22,PR2PO-ACK2,BOT
1553319,2025-04-17,4400106948,April 2025,0,G05,2025-04-22,PR2PO-ACK2,BOT
1312085,2025-04-23,4400106951,April 2025,0,A14,2025-04-24,PR2PO-ACK2,BOT
1312085,2025-04-23,4400106951,April 2025,0,A14,2025-04-24,PR2PO-ACK2,BOT
4307618,2025-04-23,4400106952,April 2025,0,A14,2025-04-23,PR2PO-ACK2,BOT
4307618,2025-04-23,4400106952,April 2025,0,A14,2025-04-23,PR2PO-ACK2,BOT
1312085,2025-04-24,4400106953,April 2025,0,A14,2025-04-24,PR2PO-ACK2,BOT
1312085,2025-04-24,4400106953,April 2025,0,A14,2025-04-24,PR2PO-ACK2,BOT
